sample,group,color,sample_label
RM1-050-T3_REP1,CCI_d14,red,CCI_d14
RM1-063-T3_REP1,CCI_d14,red,CCI_d14
RM1-075-T3_REP1,CCI_d14,red,CCI_d14
RM1-094-T3_REP1,CCI_d14,red,CCI_d14
RM1-083-T3_REP1,CCI_d14,red,CCI_d14
RM1-106-T3_REP1,CCI_d14,red,CCI_d14
RM1-84-T3_REP1,CCI_d14,red,CCI_d14
RM1-92-T3_REP1,CCI_d14,red,CCI_d14
RM1-050-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-075-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-066-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-071-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-079-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-081-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-094-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-083-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-106-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-84-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-92-T1_REP1,CCI_d4,lightcoral,CCI_d4
RM1-059-HC-T3_REP1,HC_d14,green,HC_d14
RM1-065-T3-HC_REP1,HC_d14,green,HC_d14
RM1-067-T3-HC_REP1,HC_d14,green,HC_d14
RM1-059-HC-T1_REP1,HC_d4,lightgreen,HC_d4
RM1-020-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-102-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-019-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-038-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-060-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-067-T1-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-099-HC_REP1,HC_d4,lightgreen,HC_d4
RM1-064-T3_REP1,RAP_d14,blue,RAP_d14
RM1-082-T3_REP1,RAP_d14,blue,RAP_d14
RM1-096-T3_REP1,RAP_d14,blue,RAP_d14
RM1-048-T1_REP1,RAP_d4,lightblue,RAP_d4
RM1-064-T1_REP1,RAP_d4,lightblue,RAP_d4
RM1-082-T1_REP1,RAP_d4,lightblue,RAP_d4
RM1-089-T1_REP1,RAP_d4,lightblue,RAP_d4
RM1-096-T1_REP1,RAP_d4,lightblue,RAP_d4
